job_id,client_name,client_email,job_value,job_type,job_date,status,assigned_to
36,"Duran, Smith and Ortiz",hwright@henderson-ward.biz,2567,Maintenance,2025-03-05,Completed,Rachel James
37,Greer Inc,michaelrichardson@washington.biz,3160,Maintenance,2026-01-29,Completed,Christopher Krause
38,Bennett-Murillo,chernandez@marshall.com,827,Development,2025-03-30,Completed,Kevin Johnston
39,"Ramos, Peters and Gonzalez",nhudson@brown.com,3839,Consulting,2025-05-18,Completed,John Adkins
40,Adams-Doyle,weaverkaren@lawrence-dudley.net,623,Development,2025-08-20,Completed,Michael Miller
41,Hanna-Lloyd,dawn67@jones.info,132,Consulting,2025-11-06,Completed,Jeffery Soto
42,Chapman-Jones,thomas33@alexander.com,3901,Maintenance,2025-07-04,Completed,Joseph Sullivan
43,"Le, Espinoza and Cox",oduncan@taylor-jones.com,2542,Design,2026-02-18,Completed,Cynthia Thomas
44,"Andrews, Gaines and Rogers",jgardner@little.com,1933,Maintenance,2025-01-05,Completed,Richard Johnson
45,Clayton PLC,ycooper@saunders.com,4789,Maintenance,2025-02-21,Completed,Angela Mckinney
46,"Singleton, Shea and Jackson",coxrichard@wong.com,795,Development,2026-02-09,Cancelled,Thomas Johnson
47,Olson Inc,rclark@johnson.com,2193,Maintenance,2026-01-10,Pending,Catherine Jordan
48,Hendricks PLC,matthew83@cross-goodwin.com,3364,Development,2025-12-02,Cancelled,Christopher Mendoza
49,"Cooper, Lewis and Figueroa",erikgonzales@gonzalez.com,4915,Development,2025-03-14,Completed,Erin Livingston
50,"Jackson, Williams and Obrien",omartinez@johnson-moore.com,1226,Design,2025-07-11,Completed,Jason Larson
51,Hunt-Fuller,garciasandra@hawkins-gonzales.com,1327,Development,2025-12-13,Completed,Courtney Jackson
52,Schmidt-Ellis,kjimenez@hamilton-evans.biz,2726,Consulting,2025-11-20,Completed,Erica Morrison
53,"Rodriguez, Jordan and Williams",olsonwilliam@bryant.org,4959,Development,2025-01-17,Completed,John Phillips
54,Webb-Mooney,martinezgrace@cross.info,703,Consulting,2025-06-09,Completed,Ryan Brown
55,Carroll PLC,iday@wyatt.com,1840,Design,2025-08-11,Completed,Dustin Wilson
56,Mitchell-Jackson,villapam@rodriguez.org,2249,Maintenance,2026-01-08,Completed,Duane Brown
57,Sanchez and Sons,qrodriguez@snyder.net,1676,Design,2025-03-31,Completed,Scott Hill
58,Rivera and Sons,hudsonsarah@evans.biz,4618,Development,2026-01-28,Cancelled,Cindy Wright MD
59,Bryant LLC,garywhite@stein.com,2820,Design,2025-10-12,Completed,Katherine Hardy
60,Kelly and Sons,sherireese@lane.com,3305,Development,2026-01-09,Completed,Amanda Gomez
61,Miller-Matthews,crystalhicks@singh.com,1988,Design,2025-04-08,Completed,Mr. Martin Black
62,"House, Hall and Roberts",brewermelanie@kemp-cervantes.org,2816,Design,2026-02-04,Completed,Eileen Young
63,"Kidd, Moon and Leon",pmartin@wong-brown.org,3609,Development,2025-01-21,Completed,Nicholas Mullins
64,"Rodriguez, Edwards and Osborne",maureenmartin@hancock.com,2068,Maintenance,2025-01-05,Pending,Crystal Parker
65,Holland Inc,brettbooth@west.com,2771,Development,2025-11-07,Pending,Lisa Austin
66,Fischer-Daniels,dsanchez@henry-stephens.org,2240,Design,2025-03-24,Completed,Robert Stone
67,Garcia-Morris,williamsbilly@sanchez.com,115,Consulting,2025-01-15,Cancelled,Whitney Ramirez
68,"Michael, Payne and Stephens",michaelwalker@brown.org,405,Consulting,2026-02-07,Completed,Allison Perez
69,"Williams, Johnson and Turner",jasmine88@medina.com,1221,Consulting,2025-06-29,Completed,Veronica Duffy
70,"Moreno, Dalton and Gilbert",kristenhanson@phillips.info,4911,Maintenance,2025-05-05,Completed,James Davis
71,Arnold and Sons,paul40@ellis.com,1116,Maintenance,2025-10-05,Completed,Rachel Escobar
72,Gardner Inc,martinezjennifer@cook-alvarez.com,263,Consulting,2025-10-24,Completed,Keith Juarez
73,"Hudson, Hernandez and Alexander",ghiggins@smith-ramirez.com,1786,Design,2025-06-10,Completed,Scott Banks
74,Love Ltd,mgarcia@miller.info,3637,Design,2025-07-19,Completed,Alyssa Wood
75,Coleman Group,zsmith@heath.net,2942,Maintenance,2025-05-14,Completed,John Moore
76,Stone-Reyes,barrywilliams@sanchez-reed.biz,383,Development,2025-01-24,Completed,Rick Peterson
77,Boyd Group,erikalopez@wilson-ruiz.com,3550,Design,2025-02-22,Completed,Steven Hernandez
78,Warren LLC,patricia04@brown.com,2807,Development,2025-06-23,Completed,Nathan Price
79,"Lewis, Henderson and Smith",robert46@parker.net,3539,Design,2025-07-21,Completed,Alexis Kelly
80,"Robinson, Nash and Fischer",stephanie34@nicholson.com,3568,Maintenance,2025-03-19,Completed,Benjamin Wood
81,Moore-Lyons,nicholassmith@rocha.com,4402,Design,2025-10-21,Completed,Jennifer Rose
82,Ferrell LLC,arthur83@bryant.net,1309,Maintenance,2025-02-28,Completed,Michael Buckley
83,Davis PLC,amanda83@wyatt.org,4036,Consulting,2025-10-05,Completed,Matthew Church
84,Johnson Ltd,alexandria92@aguilar-chavez.com,1425,Design,2025-08-17,Completed,Monica Sandoval
85,"Holmes, Hartman and English",michaeljensen@mitchell.net,3361,Development,2025-01-02,Completed,Jeremy Williams
86,Abbott PLC,loganjohnson@grant-stewart.biz,3956,Consulting,2025-03-03,Completed,Matthew Johnson
87,Powell-Becker,kim20@anderson.com,2386,Design,2025-04-09,Completed,Phillip Perry
88,Sullivan-Gomez,andrew71@daniel.net,700,Maintenance,2025-12-15,Completed,Crystal Carroll
89,Lopez-Ortega,daniel65@hays.biz,3364,Maintenance,2025-07-14,Completed,Autumn Russell
90,"Schmitt, Gomez and Brown",jacob93@potts-mcmillan.com,4714,Design,2025-11-03,Completed,Christopher West
91,"Pierce, Kirk and Washington",respinoza@harris-garcia.com,3237,Maintenance,2025-05-15,Completed,Aaron Fisher
92,Stephens-Copeland,jamesgraham@harris.com,1742,Maintenance,2025-09-28,Completed,Robert Rose
93,Moreno-Cline,marvin71@wilson-fields.biz,1410,Consulting,2025-12-30,Completed,Thomas Casey
94,Robertson-Avila,zleonard@hunt.biz,1394,Design,2025-08-10,Completed,Wendy Skinner
95,Maxwell-Holden,hmorton@anderson.net,1366,Development,2026-01-02,Completed,Denise Woods MD
96,Munoz-Palmer,jonesjordan@johnson.com,3810,Development,2025-02-19,Completed,Lisa Carter
97,Brown Ltd,evansryan@ball-garcia.com,2227,Consulting,2025-04-14,Completed,Nathan Smith
98,"Huynh, Hull and Clark",josephsmith@black.info,4472,Development,2025-11-23,Pending,Michael Sanchez
99,"Benton, Owen and Simpson",devin84@andrade.com,1715,Maintenance,2025-10-14,Completed,Aaron Hamilton
100,Leonard-Williams,michaelsandoval@harris.net,4034,Maintenance,2026-01-16,Completed,Douglas Thomas
101,Martin-Marshall,william23@johnson.info,124,Design,2025-10-01,Pending,Kyle Simmons
102,Morse-Walker,arroyojane@hawkins-kelly.com,1570,Maintenance,2025-12-05,Completed,Aaron Garcia
103,Graves-Gilbert,davisrick@maxwell.com,2623,Maintenance,2025-06-30,Completed,Dr. Jennifer Cummings DDS
104,Santana Inc,cassandra93@jones.net,3412,Consulting,2025-03-20,Completed,Misty Chavez
105,"Nguyen, Meadows and Reyes",rachel76@duncan.com,1870,Consulting,2025-06-22,Completed,Ray Johnston
106,Montes-Smith,joyce50@obrien-brandt.org,3457,Development,2026-01-28,Completed,Molly Holt
107,Jacobs and Sons,amy71@barnes.com,3957,Development,2025-11-24,Completed,Matthew White
108,"Hanson, Hill and Chen",christinejacobson@taylor.net,1787,Design,2025-02-24,Completed,Donna Ford
109,"Scott, Harrison and Simmons",jacobsanchez@carlson-parker.info,217,Maintenance,2025-03-12,Completed,April Butler
110,"Ferguson, Combs and Manning",pberry@johns.info,4042,Consulting,2025-11-11,Pending,Matthew Jackson
111,Baird Inc,kevinsmall@whitney.org,2659,Consulting,2025-09-29,Completed,Brenda Gray
112,"Torres, Colon and Lyons",snydertyrone@brooks.com,2432,Design,2025-11-17,Completed,Casey Hoffman
113,Peters-Lyons,rogerschristina@pace.net,4674,Maintenance,2025-07-08,Completed,Janet Espinoza
114,Olson Ltd,william52@gutierrez-wolf.net,574,Development,2025-07-02,Completed,James Anderson
115,Booth Ltd,bcarlson@moore.org,1408,Consulting,2025-03-14,Completed,Craig Dougherty
116,"Golden, Castro and Anderson",uhendricks@turner.com,1010,Design,2025-08-09,Pending,Billy Vasquez
117,Martinez PLC,fphelps@casey.net,3862,Design,2025-08-12,Completed,Amanda Castillo
118,Jimenez-Blankenship,tylermiller@marshall.com,2673,Consulting,2026-02-04,Completed,Edward Hill
119,"Warner, Acosta and Smith",popemichelle@schultz-suarez.net,4796,Development,2025-01-27,Completed,Eddie Black
120,Parsons-Freeman,tyler25@moreno-french.com,4854,Consulting,2025-06-02,Completed,David Lee
121,Jacobs PLC,mwheeler@hogan.info,3591,Maintenance,2025-12-12,Completed,Marcus Fisher
122,Walsh LLC,ronald73@mata.com,1190,Maintenance,2025-05-23,Completed,Mary Berry
123,Santos-Sosa,morenorenee@gonzales.com,1972,Consulting,2025-03-01,Completed,Taylor Crawford
124,Dennis and Sons,maurice69@martinez.info,1932,Consulting,2026-01-21,Completed,Wayne Yoder
125,"Young, Rodriguez and Mccarthy",barbarabaxter@copeland.com,1423,Maintenance,2026-01-26,Completed,Thomas Woods
126,Russo-Fuller,obriendavid@phillips-kirby.com,2755,Consulting,2025-04-02,Completed,Mark Perez
127,"Rodriguez, Powell and Torres",charles13@edwards.com,802,Development,2025-02-18,Completed,Tyler Haley
128,Moran LLC,phillip88@moore.com,2696,Consulting,2026-01-07,Pending,Abigail Griffith
129,Allen LLC,rgrant@harrington.com,1324,Consulting,2025-06-22,Completed,Becky Reed
130,Rice-Knight,scottjones@ford.info,543,Maintenance,2025-05-25,Completed,Tanya Bennett
131,Miller LLC,lweber@white.com,3690,Design,2025-10-22,Pending,Robert Johnson
132,Gonzales Ltd,nterry@larson.com,509,Development,2025-05-17,Completed,Mark Parks
133,"Evans, White and Kelly",kaitlin21@smith-webb.com,1430,Consulting,2025-09-20,Completed,Audrey Vasquez
134,Benson Inc,jamespetersen@peterson.com,3492,Design,2025-04-23,Completed,Kayla Huffman
135,"Calhoun, Barnett and Lee",kochkristina@stanton.com,1681,Design,2025-04-18,Completed,Melissa Bailey
136,"Morales, Decker and Ward",smithjessica@robles.com,2018,Consulting,2026-02-22,Completed,Robert Carr
137,Young Group,brockjohn@bailey.com,1044,Consulting,2025-06-02,Completed,Gregory Acosta
138,"Sweeney, Logan and Moore",edward17@kramer.org,1445,Development,2025-06-19,Completed,David Reilly
139,Walker-Blake,hamptoncassie@jackson.info,3554,Consulting,2026-02-20,Completed,Ryan Ross
140,Brock-Roberts,jbaldwin@munoz.com,3529,Development,2025-04-19,Pending,Alison Williams
141,Welch Inc,brandy70@pope-moore.info,279,Consulting,2025-12-10,Completed,Kenneth Coleman
142,Jenkins and Sons,joseph23@lewis-dillon.com,102,Design,2025-09-21,Completed,Jessica Alvarez
143,Ryan-Martinez,davidlewis@riggs-rowland.com,2903,Maintenance,2025-12-14,Completed,James Ibarra
144,Williams-Le,justin30@schroeder.biz,1838,Maintenance,2025-08-04,Completed,Andrea Gallegos
145,"Reyes, Spencer and Beasley",ndavis@garza-brown.com,3069,Design,2025-06-27,Completed,Sara Mcintosh
146,"Odonnell, Williams and Mcfarland",robert21@brown.com,4241,Design,2025-07-08,Completed,Christopher Green
147,"Aguilar, Hampton and Steele",richarddoyle@arnold-green.com,4592,Development,2025-05-26,Completed,Robert Schneider
148,"Spencer, Colon and Williams",dsolis@glover.com,2519,Maintenance,2025-02-01,Completed,Cathy Cummings
149,"Warren, Powers and Lane",kjones@perez.com,326,Design,2025-10-24,Completed,Ruth Scott
150,Young-Austin,pam01@delacruz.com,2062,Maintenance,2025-08-05,Completed,Leah Lloyd
151,Herrera PLC,tracilopez@jones-boyd.com,1214,Consulting,2025-05-02,Completed,Kimberly Foster
152,Miller-Carr,palmerjoel@keller.org,970,Maintenance,2025-05-14,Completed,Tyler Ayala
153,Wolf LLC,charlesward@bass-patterson.com,225,Maintenance,2025-04-24,Completed,Colin Vega
154,Duke Group,beckychavez@kim.biz,4119,Maintenance,2025-10-22,Completed,Julia Jones
155,Smith-Walter,etorres@garcia.com,4381,Development,2026-01-12,Pending,Alyssa Hoffman
156,Martin Ltd,simpsonmark@estrada.com,2580,Maintenance,2025-03-09,Completed,Samuel Lowe
157,Wilson and Sons,qpena@noble.com,3249,Development,2025-12-16,Completed,Amy Matthews
158,Hill Ltd,barrettbrian@sanchez.biz,598,Maintenance,2025-06-30,Completed,Elizabeth Cross
159,Flores Group,tyler68@dominguez.org,514,Consulting,2025-03-02,Cancelled,Rebecca Lopez DDS
160,Henderson PLC,cruzjade@saunders-mcpherson.com,3755,Development,2026-01-26,Completed,Eric Miranda
161,Krueger PLC,natalie99@pierce.com,3574,Development,2025-03-31,Completed,Beverly Swanson
162,Martin-Burton,pamela35@cook.com,3815,Design,2025-05-04,Completed,Christine West
163,Wu Group,jenniferrichard@copeland.info,3973,Development,2025-12-02,Completed,Caroline Chase
164,Flores PLC,wilsonjason@taylor.info,3556,Design,2025-09-26,Completed,Patricia Rogers
165,Welch Ltd,yjohnson@carey.com,1663,Development,2026-02-11,Completed,Joseph Cook
166,"Cooper, Munoz and Cruz",qmurray@wallace.info,1388,Consulting,2025-04-08,Completed,Kathryn Huerta
167,"Wright, Brown and Woodward",mscott@hines.net,754,Design,2025-05-13,Completed,Peter Dillon
168,Webb-Evans,pamelagardner@mendoza-benson.biz,3889,Development,2025-11-06,Completed,Mary Stevens
169,Williams-Chan,richardray@hoffman-garcia.biz,4264,Consulting,2025-02-04,Completed,John Singh
170,Black PLC,zholt@roberts.net,3819,Consulting,2025-01-13,Completed,Samuel Clark
171,Schultz-Hernandez,nrivera@shepherd-smith.com,2491,Maintenance,2025-11-13,Completed,Margaret White
172,Pace Group,antonio23@dalton-calderon.com,538,Design,2025-11-24,Completed,Jeremy Edwards
173,Wilson Ltd,thaynes@allison.com,4803,Consulting,2025-08-04,Completed,Susan Smith
174,Peterson-Smith,jason40@barron-vasquez.com,3317,Design,2025-09-21,Completed,Kelly Hughes
175,"Frey, Medina and Becker",william24@russell-gill.com,1417,Design,2026-01-19,Completed,James Vasquez
176,"Jones, Miller and Boone",candicepitts@wagner.com,4933,Design,2025-03-23,Completed,Dustin Curry
177,"Thompson, Martinez and Garcia",doris13@hicks.com,3189,Consulting,2025-01-27,Cancelled,Pamela Price
178,"Espinoza, Collins and Pacheco",shannonray@lowery-moore.info,4057,Development,2025-05-15,Completed,Justin Sanchez
179,Ramos-Johnson,bpayne@braun.com,3201,Development,2025-06-24,Completed,Bonnie Nelson
180,"Meyers, Obrien and Patrick",ejackson@phillips-myers.com,1112,Design,2025-07-28,Completed,Kristine Booth
181,Ray-Blevins,golson@watkins.com,2199,Maintenance,2025-04-30,Completed,Susan Jackson
182,Baker-Mercado,btaylor@davis-gillespie.biz,1426,Design,2025-04-07,Completed,Michael Mcpherson
183,"Fox, Henson and Mendoza",brandon49@martinez.com,4051,Maintenance,2026-02-06,Completed,Thomas Simmons
184,"Fitzgerald, Rodriguez and Ramirez",coffeyruth@lopez.com,4782,Design,2025-05-14,Completed,Mark Austin
185,Schmidt LLC,kellyjustin@ford-hines.com,3155,Maintenance,2025-01-22,Completed,Arthur Murphy
186,"Jones, Thomas and Thomas",singhangela@rice.com,2112,Development,2025-08-11,Completed,Michelle Cole
187,"Taylor, Walsh and Kennedy",larrymartinez@martinez-burton.info,1508,Maintenance,2025-10-11,Pending,Nicole Lopez
188,Evans-Grant,wisemichael@quinn-williams.biz,679,Maintenance,2025-03-08,Completed,Jamie Benton
189,Miller LLC,thudson@dean.com,2992,Design,2025-12-24,Pending,James Thompson
190,Santana-Walsh,margaretanderson@davis-kennedy.com,925,Consulting,2025-12-15,Completed,Andrea Schmidt
191,"Rodriguez, Hernandez and Brown",wardandrew@moore.net,2935,Design,2025-02-03,Completed,Sherry Griffin
192,Collins Group,greenvictoria@ali.biz,1342,Consulting,2025-12-05,Completed,Gregory Chang
193,"Sosa, Strickland and Osborne",keithstanley@hill-gonzalez.com,2885,Consulting,2025-08-30,Completed,Michelle Hill
194,"Larson, Gutierrez and Mullins",lisapowell@pena.info,2940,Consulting,2025-10-20,Completed,Amanda Olson
195,Brown-Larson,goodwinlisa@norman.com,1887,Design,2026-01-27,Completed,Martha Sanchez
196,Greer Inc,bpeters@moore.biz,4220,Maintenance,2025-06-17,Completed,Brandon Graham
197,Mcdonald-Ellis,nancy10@wiley.com,2596,Maintenance,2025-06-27,Completed,Patrick Harrell
198,"Smith, Powell and Robertson",llee@graves.info,3000,Maintenance,2025-11-23,Completed,David Yoder
199,"Gibson, Dean and Middleton",marquezsteven@cuevas.net,2796,Design,2025-03-30,Completed,William Green
200,Payne Group,xortiz@ward-fields.com,4612,Design,2026-01-18,Completed,Jennifer Smith
201,Reynolds Group,anthonystokes@wallace.biz,3500,Consulting,2025-12-12,Pending,Nicholas Fisher
202,"Byrd, Mueller and Rogers",fishermichael@nichols.com,2836,Design,2026-02-20,Completed,Mr. Jeffrey Mendez
203,Johnson Inc,brian95@ramirez.org,4693,Development,2025-11-14,Completed,Jose Smith
204,Jackson-Castro,uchandler@morris.com,379,Consulting,2025-01-01,Completed,Melissa Green
205,Ward Ltd,nicholas96@robbins.com,495,Maintenance,2025-06-18,Pending,Malik Walton
206,Odonnell Inc,amandawarren@murphy.com,1811,Development,2025-02-15,Completed,Mr. Derrick Smith
207,Hampton-Johnson,williamlamb@robinson-whitaker.com,1113,Design,2025-03-31,Completed,Michelle Lynch
208,"Odonnell, Grant and Elliott",ashley01@irwin-anderson.com,907,Development,2025-11-07,Completed,Kimberly Bowman
209,"Hardy, Rodriguez and Schneider",petersontina@roberson.net,1643,Development,2025-08-27,Completed,John Barnett
210,"Hull, Castro and Campbell",anthonyharrington@sanchez.com,3625,Maintenance,2025-11-19,Completed,Daniel Clarke
211,Potts Group,davidgriffith@adams.biz,4449,Design,2025-01-04,Completed,Kelly Gray
212,"Sparks, Mckenzie and Solis",elizabeth43@williams-gutierrez.net,2551,Design,2025-06-18,Completed,Robin Hall
213,Price-Brown,alan66@brown-boyd.com,4657,Development,2025-08-03,Completed,Matthew Mills
214,"Johnson, Morton and Mccarthy",steven90@martin.com,3822,Development,2025-12-10,Pending,Gary Mathews
215,Ramirez-Torres,jonestimothy@brooks.org,4001,Maintenance,2026-02-20,Completed,Erika Marsh
216,Underwood-Smith,qdixon@brennan.com,1220,Development,2025-09-15,Completed,Martin Cummings
217,Johns-Roberts,edoyle@roberts.com,1139,Consulting,2026-01-02,Completed,Devon Sullivan
218,Brown Inc,uchavez@lee.net,712,Development,2025-12-14,Completed,Frank Adams
219,Torres-Robinson,monica49@obrien.net,2737,Consulting,2026-02-15,Completed,Joan Skinner
220,Reyes-Garcia,krystallee@barrett-blake.org,1572,Maintenance,2025-02-08,Pending,Adrienne Huff
221,Jones LLC,fwoods@ray-cunningham.net,3910,Development,2025-01-04,Completed,Antonio Friedman
222,Lee PLC,tammy95@farley.net,3427,Consulting,2025-03-23,Pending,Steven Cruz
223,"Holmes, Patel and Lewis",nicolestephens@stewart-aguirre.net,1144,Design,2025-03-06,Completed,Paul Johnson
224,Garza and Sons,leemichelle@griffith.com,1115,Maintenance,2025-01-14,Completed,Michael Powell
225,Williams-Bennett,alexander60@walters-padilla.biz,4371,Design,2025-10-24,Completed,Jacqueline Carter
226,"Cook, Coleman and Gutierrez",andreabrewer@hall.net,3608,Consulting,2025-12-04,Completed,Roberto Walker
227,Burton-Foster,kknight@jones.com,1356,Design,2025-06-16,Completed,Christopher Tran
228,"Wilson, Harris and Lyons",ccooke@mcdaniel.com,3564,Consulting,2026-01-07,Completed,Ralph Barnes
229,Olsen-Cole,thomas14@burns.com,1315,Consulting,2025-02-24,Completed,Christopher Davis DDS
230,"Perry, Evans and Kramer",kramirez@lang-turner.biz,4297,Consulting,2025-12-07,Completed,Lauren Morgan
231,"Cross, Jones and Carson",stevenhampton@nguyen.com,1366,Maintenance,2026-02-01,Completed,Sara Hopkins
232,Clark Inc,marysmith@townsend.biz,3884,Design,2025-07-05,Completed,Peter Cherry
233,Chandler-Chavez,davidgray@wang-morris.com,314,Consulting,2026-02-09,Completed,Tracey Haney
234,Atkinson-Berry,ashley86@gallagher-valencia.com,3985,Development,2026-01-07,Completed,Madison Galloway
235,"Russell, Johnson and Randall",shannonhaney@carter.net,1305,Maintenance,2025-05-04,Completed,Daniel Beck
236,"Solis, Stewart and Brown",christinarice@walsh-ramirez.net,4209,Design,2025-11-06,Completed,Jacqueline Jones
237,Wright and Sons,westmicheal@davis.info,895,Maintenance,2026-02-20,Completed,Sarah Williams
238,French-Patterson,kathy27@robertson.biz,3927,Development,2025-08-28,Pending,Samantha Mendez
239,Mccoy PLC,oflowers@johnson-gallegos.com,4437,Consulting,2025-09-18,Completed,Derek Bowers
240,Moon PLC,baileypaul@garcia-zamora.com,3092,Maintenance,2025-06-17,Cancelled,Andrew Johnson
241,Williams LLC,julie65@cole-rush.info,4185,Maintenance,2025-12-17,Completed,Elizabeth Bell
242,"Thomas, Phillips and Carroll",timothy61@james.biz,2601,Design,2025-04-19,Completed,Jamie Hernandez
243,Bell-Wilkerson,susanalexander@martin-jensen.info,3578,Design,2025-09-25,Pending,Dawn Young
244,"Ford, Payne and Herman",daniellealexander@miller-oliver.com,2320,Development,2025-11-24,Pending,Patricia Francis
245,Lopez LLC,angelica70@thompson-arnold.com,3511,Development,2025-03-21,Completed,Kelly Shaffer
246,"Jones, Moreno and Williams",timothy00@miller-cook.com,840,Maintenance,2025-02-05,Completed,Charles Perez
247,Wilkerson and Sons,gregorydyer@diaz-schultz.com,978,Design,2025-06-03,Completed,Carol Cox
248,Hinton Group,michaelsteele@king-vasquez.com,1220,Maintenance,2025-07-03,Completed,Mary Mckinney
249,Merritt Group,hestermelissa@le-day.com,973,Maintenance,2025-12-08,Completed,Douglas Smith
250,Rivera LLC,veronica19@shaw.org,119,Design,2025-07-31,Pending,Donald Smith
251,Owens and Sons,petersonwilliam@hayes.com,2009,Maintenance,2025-03-05,Completed,Richard Lopez
252,Walker Inc,emily16@holland.com,976,Development,2025-12-11,Completed,Daniel Hardy
253,Lopez and Sons,joshuahernandez@white.org,4094,Maintenance,2025-04-01,Completed,Nicole Anderson
254,"Adams, King and Smith",melissawhite@keller.biz,388,Design,2025-08-10,Completed,Dr. William Herman Jr.
255,"Edwards, Brown and Wallace",mmason@mcmahon-anderson.net,623,Development,2025-01-23,Completed,Mark Walters
256,Cline Inc,fstewart@moreno.org,4770,Development,2025-06-24,Pending,Heather Yoder
257,Sparks LLC,grahamgabrielle@macias.net,2974,Design,2025-05-31,Completed,Danny Romero
258,West PLC,michael60@osborne-wells.info,2029,Maintenance,2025-02-17,Pending,Zachary Estes
259,Carpenter-Johnson,jrogers@kelly.com,2847,Maintenance,2025-02-19,Completed,Julia Jarvis
260,Arnold-Simon,brianjohnson@lin.com,4198,Maintenance,2025-12-21,Completed,Ashley Ward
261,"Thompson, Lewis and Burns",richard42@kent.com,4924,Maintenance,2025-09-04,Completed,Stephen Ross
262,Thomas Inc,johnbarrera@payne-stevens.info,418,Design,2026-01-09,Completed,Tammy Olsen
263,"Patterson, Bullock and Mathews",welchjeffery@williams-burch.biz,4295,Maintenance,2025-06-17,Completed,Matthew Freeman
264,Stewart-Contreras,michellethomas@johnson-martin.com,979,Maintenance,2025-09-25,Cancelled,Ashley Wilson
265,"Roberts, Carrillo and Murphy",gbarker@ryan-mcbride.com,824,Development,2025-12-05,Pending,Mary Morales
266,Jones-Baxter,cynthia24@williams.com,4086,Development,2025-05-31,Completed,Alexandria Matthews
267,Avery PLC,nmiller@parks-taylor.biz,4200,Development,2025-07-05,Cancelled,Jason Jensen
268,"Chambers, Mccormick and Williams",washingtonjoe@myers-johnson.com,2759,Development,2025-08-23,Completed,Aaron Smith
